Loss,B1 exit,B2 exit,Main exit,Avg-Latency,B1 Accuracy,B2 Accuracy,Main Accuracy,Average Accuracy
0.0,0,0,5001,0.002360718584060669,0,0,0.8172365526894622,0.8172365526894622
0.01,37,0,4964,0.0023690303325653076,1.0,0,0.8102336825141015,0.8116376724655069
0.02,67,0,4934,0.0023631242752075194,1.0,0,0.8121199837859748,0.8146370725854829
0.03,128,0,4873,0.002317944598197937,1.0,0,0.8058690744920993,0.8108378324335133
0.04,175,0,4826,0.002345531678199768,0.9942857142857143,0,0.8114380439287194,0.8178364327134573
0.05,220,0,4781,0.002328887438774109,0.9954545454545455,0,0.8038067349926794,0.8122375524895021
0.06,259,0,4742,0.002314210367202759,1.0,0,0.8051455082243779,0.8152369526094781
0.07,309,0,4692,0.0022888228178024293,1.0,0,0.7962489343563512,0.8088382323535293
0.08,337,0,4664,0.0022813794612884524,0.9940652818991098,0,0.7980274442538593,0.8112377524495101
0.09,356,0,4645,0.002264368438720703,0.9887640449438202,0,0.7890204520990313,0.8032393521295741
0.1,396,0,4605,0.0022770047664642332,0.9949494949494949,0,0.7980456026058632,0.8136372725454909
0.11,429,0,4572,0.0022579421520233156,0.993006993006993,0,0.7869641294838146,0.8046390721855629
0.12,483,0,4518,0.0022786035299301147,0.989648033126294,0,0.7926073483842409,0.8116376724655069
0.13,507,0,4494,0.002244329833984375,0.9921104536489151,0,0.7937249666221629,0.8138372325534893
0.14,556,0,4445,0.002235823917388916,0.987410071942446,0,0.7923509561304837,0.8140371925614877
0.15,538,0,4463,0.0022438057661056518,0.983271375464684,0,0.7873627604750169,0.8084383123375325
0.16,585,0,4416,0.0022232614755630493,0.9914529914529915,0,0.7850996376811594,0.8092381523695261
0.17,612,0,4389,0.0022246094942092896,0.9869281045751634,0,0.7830940988835726,0.8080383923215357
0.18,663,0,4338,0.002213745927810669,0.9803921568627451,0,0.7766251728907331,0.8036392721455708
0.19,672,0,4329,0.002218214225769043,0.9806547619047619,0,0.7867867867867868,0.8128374325134973
0.2,725,0,4276,0.0022151965856552123,0.9862068965517241,0,0.7782974742750234,0.8084383123375325
0.21,756,0,4245,0.0021941558599472047,0.9867724867724867,0,0.7865724381625442,0.8168366326734653
0.22,768,0,4233,0.0021882617235183715,0.9856770833333334,0,0.7826600519725962,0.8138372325534893
0.23,793,0,4208,0.0021862707138061523,0.9848675914249685,0,0.7778041825095057,0.8106378724255149
0.24,853,0,4148,0.0021981242895126344,0.9835873388042204,0,0.7796528447444552,0.8144371125774845
0.25,833,0,4168,0.002176120901107788,0.9819927971188476,0,0.7816698656429942,0.8150369926014797
0.26,858,0,4143,0.002158405017852783,0.9813519813519813,0,0.7774559497948347,0.8124375124975005
0.27,865,0,4136,0.0021607210874557497,0.9780346820809248,0,0.7744197292069632,0.8096380723855229
0.28,937,0,4064,0.0021454989910125732,0.9754535752401281,0,0.7790354330708661,0.8158368326334733
0.29,956,0,4045,0.0021392136573791503,0.9801255230125523,0,0.7648949320148332,0.8060387922415517
0.3,1016,0,3985,0.0021227044582366942,0.9783464566929134,0,0.7673776662484316,0.8102379524095181
0.31,989,0,4012,0.0021260470151901246,0.9767441860465116,0,0.7637088733798604,0.8058388322335532
0.32,1034,0,3967,0.0021503262519836424,0.9709864603481625,0,0.7698512730022687,0.8114377124575085
0.33,1018,0,3983,0.0021395477294921875,0.9744597249508841,0,0.7652523223700728,0.8078384323135372
0.34,1051,0,3950,0.0021269296884536743,0.972407231208373,0,0.780759493670886,0.8210357928414317
0.35000000000000003,1092,0,3909,0.00212615339756012,0.9706959706959707,0,0.7664364287541571,0.8110377924415118
0.36,1101,0,3900,0.002123327565193176,0.9663941871026339,0,0.7661538461538462,0.8102379524095181
0.37,1209,0,3792,0.0021427276611328126,0.9710504549214226,0,0.7563291139240507,0.8082383523295341
0.38,1196,0,3805,0.002107039165496826,0.9732441471571907,0,0.7534822601839685,0.8060387922415517
0.39,1211,0,3790,0.0020981083869934082,0.9661436829066887,0,0.7722955145118734,0.8192361527694461
0.4,1234,0,3767,0.002120118308067322,0.9692058346839546,0,0.7647995752588267,0.8152369526094781
0.41000000000000003,1252,0,3749,0.0020795981407165528,0.9640575079872205,0,0.7618031475060016,0.8124375124975005
0.42,1249,0,3752,0.002076550030708313,0.967173738991193,0,0.7444029850746269,0.8000399920015997
0.43,1324,0,3677,0.0020695313692092898,0.9652567975830816,0,0.7574109328256731,0.8124375124975005
0.44,1307,0,3694,0.0020695767402648924,0.9709257842387146,0,0.7544667027612344,0.8110377924415118
0.45,1378,0,3623,0.002042954969406128,0.9499274310595065,0,0.75848744134695,0.8112377524495101
0.46,1375,0,3626,0.002044745469093323,0.9534545454545454,0,0.7614451185879757,0.8142371525694861
0.47000000000000003,1423,0,3578,0.002039157795906067,0.9571328179901616,0,0.7467859139183901,0.8066386722655469
0.48,1439,0,3562,0.0020604684591293337,0.9527449617790132,0,0.7526670409882089,0.8102379524095181
0.49,1423,0,3578,0.0020494556188583373,0.9508081517919887,0,0.7409167132476244,0.8006398720255948
0.5,1472,0,3529,0.0020357831954956056,0.9605978260869565,0,0.7514876735619156,0.8130373925214956
0.51,1481,0,3520,0.0020211241006851195,0.950033760972316,0,0.7485795454545454,0.8082383523295341
0.52,1518,0,3483,0.002022007727622986,0.9472990777338604,0,0.738443870226816,0.8018396320735853
0.53,1573,0,3428,0.0020003748416900636,0.9485060394151303,0,0.7505834305717619,0.8128374325134973
0.54,1557,0,3444,0.002005065894126892,0.9505459216441875,0,0.75,0.8124375124975005
0.55,1565,0,3436,0.0020071943283081054,0.952076677316294,0,0.7424330616996507,0.8080383923215357
0.56,1624,0,3377,0.0019869962930679323,0.9439655172413793,0,0.7494817885697365,0.8126374725054989
0.5700000000000001,1645,0,3356,0.0019961960077285765,0.948936170212766,0,0.7431466030989273,0.8108378324335133
0.58,1656,0,3345,0.001976258635520935,0.9444444444444444,0,0.747982062780269,0.8130373925214956
0.59,1694,0,3307,0.0019757511615753173,0.9451003541912633,0,0.742969458723919,0.8114377124575085
0.6,1759,0,3242,0.0019548966646194457,0.9397384877771461,0,0.742134484885873,0.8116376724655069
0.61,1768,0,3233,0.0019729138135910033,0.9366515837104072,0,0.7392514692236313,0.8090381923615277
0.62,1748,0,3253,0.00196936411857605,0.9416475972540046,0,0.7257915770058407,0.8012397520495901
0.63,1773,0,3228,0.0019839221954345704,0.9362662154540327,0,0.7218091697645601,0.7978404319136173
0.64,1822,0,3179,0.0019449605941772462,0.9401756311745335,0,0.7363950927964769,0.8106378724255149
0.65,1838,0,3163,0.0019517934799194337,0.9347116430903155,0,0.7398039835599115,0.8114377124575085
0.66,1823,0,3178,0.001949426817893982,0.9369171695008228,0,0.7353681560730019,0.8088382323535293
0.67,1898,0,3103,0.0019491575479507446,0.9209694415173867,0,0.7302610377054464,0.8026394721055788
0.68,1916,0,3085,0.001930625581741333,0.9206680584551148,0,0.7254457050243112,0.8002399520095981
0.6900000000000001,1952,0,3049,0.0019245123147964478,0.923155737704918,0,0.7379468678255166,0.8102379524095181
0.7000000000000001,1952,0,3049,0.0019252471446990966,0.9318647540983607,0,0.727123647097409,0.8070385922815437
0.71,2037,0,2964,0.0019086159706115722,0.9258713794796269,0,0.7385290148448043,0.8148370325934813
0.72,2040,0,2961,0.0019300028085708618,0.9151960784313725,0,0.7176629517055049,0.7982403519296141
0.73,2041,0,2960,0.0018999218225479125,0.9181773640372366,0,0.7371621621621621,0.8110377924415118
0.74,2091,0,2910,0.0018827637910842896,0.9148732663797227,0,0.7274914089347079,0.8058388322335532
0.75,2090,0,2911,0.0018751932621002198,0.9062200956937799,0,0.7251803503950532,0.8008398320335933
0.76,2151,0,2850,0.0018823250293731688,0.902370990237099,0,0.7354385964912281,0.8072385522895421
0.77,2178,0,2823,0.0019213080167770386,0.9058769513314968,0,0.7088204038257173,0.7946410717856429
0.78,2212,0,2789,0.0018590035915374756,0.9086799276672695,0,0.717820007171029,0.8022395520895821
0.79,2246,0,2755,0.001888649868965149,0.9073909171861086,0,0.7125226860254084,0.8000399920015997
0.8,2258,0,2743,0.0018288147926330566,0.899911426040744,0,0.7247539190667153,0.8038392321535693
0.81,2343,0,2658,0.0018183289051055909,0.9035424669227486,0,0.7133182844243793,0.8024395120975805
0.8200000000000001,2363,0,2638,0.0018215831518173218,0.8937790943715616,0,0.7084912812736922,0.7960407918416317
0.8300000000000001,2328,0,2673,0.0018332959175109864,0.9020618556701031,0,0.7066965955854845,0.7976404719056189
0.84,2390,0,2611,0.0017966562747955322,0.8874476987447699,0,0.7184986595174263,0.7992401519696061
0.85,2439,0,2562,0.0017944509744644164,0.8909389093890939,0,0.7111631537861046,0.7988402319536093
0.86,2444,0,2557,0.0017969686031341552,0.8887070376432079,0,0.704732107938991,0.7946410717856429
0.87,2548,0,2453,0.0017759733200073242,0.8877551020408163,0,0.7093355075417855,0.8002399520095981
0.88,2507,0,2494,0.0017903526306152343,0.8839250099720782,0,0.7032878909382518,0.7938412317536493
0.89,2516,0,2485,0.001790342354774475,0.8827503974562798,0,0.7074446680080483,0.7956408718256349
0.9,2577,0,2424,0.0017721839427947998,0.8866899495537447,0,0.7075082508250825,0.7998400319936013
0.91,2629,0,2372,0.0017458629608154298,0.8836059338151389,0,0.6968802698145026,0.7950409918016397
0.92,2624,0,2377,0.0017424824237823487,0.881859756097561,0,0.7092974337400084,0.7998400319936013
0.93,2720,0,2281,0.0017328147649765015,0.8757352941176471,0,0.6939938623410785,0.7928414317136573
0.9400000000000001,2646,0,2355,0.001749954628944397,0.8801965230536659,0,0.6951167728237791,0.7930413917216557
0.9500000000000001,2714,0,2287,0.0017252384901046752,0.8839351510685335,0,0.6886751202448622,0.7946410717856429
0.96,2761,0,2240,0.0017205939054489136,0.8775805867439334,0,0.6924107142857143,0.7946410717856429
0.97,2783,0,2218,0.0017210072994232179,0.8677685950413223,0,0.6884580703336339,0.788242351529694
0.98,2788,0,2213,0.0017062337160110475,0.8690817790530847,0,0.6832354270221419,0.7868426314737053
0.99,2879,0,2122,0.0016946906805038451,0.8652309829802015,0,0.7026390197926484,0.7962407518496301
1.0,2867,0,2134,0.0016816338300704955,0.858039762818277,0,0.676663542642924,0.7806438712257548
1.01,2887,0,2114,0.001702465295791626,0.85555940422584,0,0.6759697256385998,0.7796440711857628
1.02,2913,0,2088,0.001679421830177307,0.8619979402677652,0,0.6882183908045977,0.7894421115776845
1.03,2934,0,2067,0.0016757570028305053,0.8667348329925018,0,0.6879535558780842,0.7928414317136573
1.04,3052,0,1949,0.0016450226545333861,0.8414154652686763,0,0.6670087224217548,0.7734453109378124
1.05,3043,0,1958,0.0016399600267410278,0.8537627341439369,0,0.695097037793667,0.7916416716656669
1.06,3115,0,1886,0.0016178930759429932,0.8446227929373997,0,0.6712619300106044,0.7792441511697661
1.07,3082,0,1919,0.0016440086841583252,0.844905905256327,0,0.6831683168316832,0.7828434313137372
1.08,3172,0,1829,0.0016233978271484376,0.8483606557377049,0,0.6943685073810826,0.7920415916816637
1.09,3158,0,1843,0.001629284405708313,0.863837872070931,0,0.6744438415626696,0.7940411917616477
1.1,3174,0,1827,0.0016169384479522706,0.853182104599874,0,0.6825396825396826,0.7908418316336733
1.11,3208,0,1793,0.0016043906450271606,0.8397755610972568,0,0.6949247071946458,0.7878424315136973
1.12,3301,0,1700,0.0015938393592834473,0.8427749166919115,0,0.6858823529411765,0.7894421115776845
1.1300000000000001,3246,0,1755,0.0015956913948059082,0.8382624768946395,0,0.6678062678062678,0.7784443111377725
1.1400000000000001,3234,0,1767,0.0016423990726470946,0.8370439084724799,0,0.6728919071873232,0.7790441911617676
1.1500000000000001,3347,0,1654,0.0015676273822784424,0.8314908873618165,0,0.6608222490931076,0.7750449910017997
1.16,3335,0,1666,0.0015715467453002929,0.8329835082458771,0,0.65906362545018,0.7750449910017997
1.17,3375,0,1626,0.0015660599946975707,0.8257777777777778,0,0.6568265682656826,0.7708458308338332
1.18,3422,0,1579,0.0015604597330093383,0.8267095265926359,0,0.6529449018366055,0.7718456308738252
1.19,3448,0,1553,0.0015493818521499633,0.8207656612529002,0,0.6754668383773342,0.7756448710257948
1.2,3505,0,1496,0.0015367023706436157,0.8191155492154065,0,0.6617647058823529,0.7720455908818237
1.21,3478,0,1523,0.0015216718435287476,0.8142610695802185,0,0.6579120157583717,0.7666466706658668
1.22,3519,0,1482,0.0015231000900268554,0.8269394714407502,0,0.6707152496626181,0.7806438712257548
1.23,3589,0,1412,0.0015054583549499513,0.8127612148230705,0,0.6685552407932012,0.7720455908818237
1.24,3618,0,1383,0.0014978092670440673,0.8153676064123825,0,0.6536514822848879,0.7706458708258348
1.25,3606,0,1395,0.0015123402833938598,0.8061564059900166,0,0.6637992831541218,0.7664467106578684
1.26,3716,0,1285,0.0014817689180374146,0.8075888051668461,0,0.6466926070038911,0.76624675064987
1.27,3682,0,1319,0.0014878394365310669,0.8060836501901141,0,0.6345716451857468,0.7608478304339132
1.28,3742,0,1259,0.0014693294763565064,0.8009086050240513,0,0.6624305003971406,0.7660467906418716
1.29,3779,0,1222,0.0014468326091766357,0.8004763164858428,0,0.6612111292962357,0.7664467106578684
1.3,3825,0,1176,0.0014516271114349366,0.7979084967320261,0,0.6454081632653061,0.7620475904819036
1.31,3824,0,1177,0.001439867949485779,0.8009937238493724,0,0.6338147833474936,0.7616476704659069
1.32,3876,0,1125,0.0014386040210723878,0.7990196078431373,0,0.64,0.763247350529894
1.33,3866,0,1135,0.0014438040971755982,0.7959130884635282,0,0.626431718061674,0.7574485102979404
1.34,3887,0,1114,0.0014266150236129762,0.8037046565474659,0,0.6597845601436265,0.7716456708658268
1.35,3934,0,1067,0.0014142984390258788,0.7941026944585663,0,0.6232427366447985,0.7576484703059388
1.36,3965,0,1036,0.0014154551029205323,0.7949558638083228,0,0.6438223938223938,0.7636472705458909
1.37,3979,0,1022,0.0014124081134796144,0.7843679316411158,0,0.6506849315068494,0.7570485902819436
1.3800000000000001,4017,0,984,0.0013877954959869384,0.793378142892706,0,0.6260162601626016,0.7604479104179164
1.3900000000000001,4059,0,942,0.001389479923248291,0.7876324217787632,0,0.6549893842887473,0.7626474705058989
1.4000000000000001,4071,0,930,0.001383409333229065,0.7835912552198477,0,0.6505376344086021,0.7588482303539292
1.41,4132,0,869,0.0013762217998504638,0.7882381413359149,0,0.6283084004602992,0.7604479104179164
1.42,4131,0,870,0.0013600166082382201,0.7748729121278141,0,0.6379310344827587,0.7510497900419916
1.43,4163,0,838,0.0013538460969924927,0.780206581791977,0,0.6276849642004774,0.7546490701859628
1.44,4181,0,820,0.0013573810577392578,0.766802200430519,0,0.6268292682926829,0.7438512297540492
1.45,4199,0,802,0.00134970281124115,0.7751845677542272,0,0.6259351620947631,0.75124975004999
1.46,4281,0,720,0.001333459734916687,0.7801915440317683,0,0.5958333333333333,0.7536492701459708
1.47,4251,0,750,0.0013416948795318604,0.7626440837450011,0,0.6253333333333333,0.7420515896820636
1.48,4283,0,718,0.0012596002340316773,0.7723558253560588,0,0.6197771587743732,0.7504499100179964
1.49,4308,0,693,0.0013256761789321898,0.7569637883008357,0,0.6349206349206349,0.7400519896020796
1.5,4295,0,706,0.0013411236047744751,0.7629802095459837,0,0.6048158640226629,0.7406518696260748
1.51,4381,0,620,0.0013000592231750489,0.7559917826980141,0,0.6209677419354839,0.739252149570086
1.52,4378,0,623,0.001305611228942871,0.7594792142530836,0,0.6099518459069021,0.7408518296340731
1.53,4430,0,571,0.0012911501884460448,0.7595936794582393,0,0.5814360770577933,0.739252149570086
1.54,4421,0,580,0.001286776566505432,0.7568423433612305,0,0.6206896551724138,0.7410517896420716
1.55,4470,0,531,0.0012823272466659546,0.752572706935123,0,0.5969868173258004,0.7360527894421116
1.56,4510,0,491,0.0012572064638137817,0.751219512195122,0,0.5641547861507128,0.7328534293141372
1.57,4481,0,520,0.0012677764177322387,0.7551885739790225,0,0.6057692307692307,0.7396520695860828
1.58,4519,0,482,0.0012604671239852905,0.740429298517371,0,0.5912863070539419,0.7260547890421916
1.59,4544,0,457,0.001258940052986145,0.7396566901408451,0,0.5733041575492341,0.7244551089782043
1.6,4573,0,428,0.0012573482751846313,0.7476492455718347,0,0.6214953271028038,0.7368526294741051
1.61,4579,0,422,0.0012573100805282592,0.7429569775060056,0,0.5758293838862559,0.7288542291541692
1.62,4625,0,376,0.001228800940513611,0.7396756756756757,0,0.5930851063829787,0.7286542691461708
1.6300000000000001,4657,0,344,0.0012323981285095214,0.7446854197981533,0,0.6162790697674418,0.7358528294341132
1.6400000000000001,4670,0,331,0.0012229000091552734,0.7509635974304069,0,0.6102719033232629,0.7416516696660668
1.6500000000000001,4669,0,332,0.0012222104549407958,0.7453416149068323,0,0.608433734939759,0.73625274945011
1.6600000000000001,4702,0,299,0.0012151819229125978,0.7264993619736282,0,0.5953177257525084,0.7186562687462508
1.67,4714,0,287,0.0011965266466140746,0.7418328383538396,0,0.6062717770034843,0.7340531893621276
1.68,4735,0,266,0.0012216987371444703,0.7440337909186906,0,0.5939849624060151,0.7360527894421116
1.69,4727,0,274,0.0012202908992767333,0.7421197376771737,0,0.5948905109489051,0.7340531893621276
1.7,4756,0,245,0.001202944850921631,0.7249789739276703,0,0.5591836734693878,0.7168566286742651
1.71,4772,0,229,0.0012038092613220214,0.7238055322715843,0,0.6026200873362445,0.7182563487302539
1.72,4787,0,214,0.0012042284727096558,0.7307290578650512,0,0.602803738317757,0.7252549490101979
1.73,4808,0,193,0.0011852373361587525,0.7242096505823628,0,0.5647668393782384,0.7180563887222555
1.74,4812,0,189,0.0011952924966812134,0.7265170407315046,0,0.5925925925925926,0.7214557088582284
1.75,4833,0,168,0.0011728033542633056,0.73411959445479,0,0.5892857142857143,0.729254149170166
1.76,4826,0,175,0.0012010705709457397,0.7314546208039785,0,0.5142857142857142,0.7238552289542092
1.77,4840,0,161,0.001163660764694214,0.7299586776859505,0,0.6273291925465838,0.7266546690661868
1.78,4881,0,120,0.0011724800825119019,0.7322270026633887,0,0.575,0.7284543091381723
1.79,4883,0,118,0.0011760843992233276,0.7243497849682572,0,0.4915254237288136,0.7188562287542491
1.8,4882,0,119,0.0011478646755218507,0.7320770176157313,0,0.5882352941176471,0.7286542691461708
1.81,4881,0,120,0.0011734327077865601,0.7240319606637984,0,0.5666666666666667,0.7202559488102379
1.82,4892,0,109,0.001175194811820984,0.7095257563368765,0,0.6055045871559633,0.707258548290342
1.83,4911,0,90,0.001161439609527588,0.7196090409285278,0,0.6444444444444445,0.7182563487302539
1.84,4930,0,71,0.0011671536922454834,0.7164300202839756,0,0.5915492957746479,0.7146570685862828
1.85,4920,0,81,0.0011565293788909912,0.7219512195121951,0,0.6419753086419753,0.7206558688262348
1.86,4918,0,83,0.0011435441255569457,0.7204148027653517,0,0.6144578313253012,0.7186562687462508
1.87,4933,0,68,0.0011557769060134887,0.7129535779444557,0,0.6029411764705882,0.7114577084583084
1.8800000000000001,4949,0,52,0.0011453917741775512,0.7146898363305718,0,0.5384615384615384,0.7128574285142971
1.8900000000000001,4942,0,59,0.001145453643798828,0.7118575475515986,0,0.5423728813559322,0.7098580283943211
1.9000000000000001,4953,0,48,0.0011403910636901857,0.7149202503533212,0,0.5,0.7128574285142971
1.9100000000000001,4957,0,44,0.0011588184595108032,0.7135364131531168,0,0.5454545454545454,0.7120575884823035
1.92,4954,0,47,0.0011618834018707275,0.7178037949132015,0,0.574468085106383,0.7164567086582684
1.93,4961,0,40,0.0011268748044967651,0.7139689578713969,0,0.675,0.7136572685462907
1.94,4970,0,31,0.001144732928276062,0.7221327967806841,0,0.5483870967741935,0.7210557888422315
1.95,4974,0,27,0.0011404659986495973,0.7175311620426217,0,0.37037037037037035,0.7156568686262748
1.96,4976,0,25,0.0011409463882446288,0.7172427652733119,0,0.52,0.7162567486502699
1.97,4982,0,19,0.001144336724281311,0.7228020875150541,0,0.5263157894736842,0.7220555888822235
1.98,4984,0,17,0.0011559577703475952,0.7146869983948636,0,0.47058823529411764,0.7138572285542891
1.99,4986,0,15,0.0011428167819976806,0.7095868431608504,0,0.6,0.709258148370326
2.0,4989,0,12,0.0011544010400772096,0.7161755862898377,0,0.75,0.7162567486502699
2.0100000000000002,4992,0,9,0.001134339451789856,0.7131410256410257,0,0.5555555555555556,0.7128574285142971
2.02,4990,0,11,0.0011333337783813477,0.7134268537074149,0,0.36363636363636365,0.7126574685062987
2.0300000000000002,4991,0,10,0.0011392133951187134,0.7158885994790624,0,0.6,0.7156568686262748
2.04,4998,0,3,0.001125108528137207,0.7184873949579832,0,0.6666666666666666,0.7184563087382524
2.05,4994,0,7,0.0011375664949417113,0.7068482178614337,0,0.7142857142857143,0.7068586282743451
2.06,4997,0,4,0.0011200007200241088,0.7124274564738843,0,0.25,0.7120575884823035
2.07,4999,0,2,0.0011306273937225341,0.7213442688537708,0,1.0,0.7214557088582284
2.08,5000,0,1,0.0011357929944992066,0.7192,0,0,0.7190561887622475
2.09,4999,0,2,0.0011073389530181885,0.7041408281656332,0,1.0,0.704259148170366
2.1,5001,0,0,0.0011317447900772095,0.7070585882823436,0,0,0.7070585882823436
2.11,5000,0,1,0.0011411736726760864,0.7126,0,1.0,0.7126574685062987
2.12,4999,0,2,0.0011554526090621947,0.7133426685337068,0,0.5,0.713257348530294
2.13,4999,0,2,0.001135073447227478,0.7139427885577115,0,1.0,0.7140571885622875
2.14,5000,0,1,0.0011232821464538575,0.7188,0,1.0,0.7188562287542491
2.15,5001,0,0,0.0011463000774383544,0.7166566686662668,0,0,0.7166566686662668
2.16,5000,0,1,0.0011394376039505006,0.7108,0,1.0,0.7108578284343131
2.17,5001,0,0,0.0011337023496627808,0.7110577884423115,0,0,0.7110577884423115
2.18,5000,0,1,0.0011465759038925172,0.715,0,1.0,0.7150569886022795
2.19,5001,0,0,0.0011507356643676758,0.7140571885622875,0,0,0.7140571885622875
